id,first_name,last_name,specialty,hospital,phone
D0001,Lucie,Marie,Chirurgie orthopédique,CHU Haut-Lévêque,+33 (0)4 26 33 21 81
D0002,Jeanne,Briand,Cardiologie,CHU de Nancy,+33 (0)1 56 13 38 90
D0003,Gabrielle,Philippe,Médecine générale,Clinique Saint-Augustin,03 66 79 40 26
D0004,Zacharie,Lopes,Psychiatrie,Hôpital Xavier Arnozan,+33 3 64 51 16 15
D0005,Camille,Barre,Médecine d'urgence,CHU Haut-Lévêque,0173781618
D0006,Théodore,Techer,Urologie,CHU de Nancy,0352103413
D0007,Eugène,Gillet,Médecine interne,CHU de Nantes,0631525534
D0008,Martine,Normand,Dermatologie,Hôpital de la Timone,+33 (0)3 23 83 27 64
D0009,Lucie,Lagarde,Endocrinologie,Hôpital Saint-André,+33 4 75 03 05 64
D0010,Christophe,Lecomte,Cardiologie,Clinique Tivoli,0362767242
D0011,Paul,Vallet,Gynécologie,Clinique Saint-Augustin,0567965328
D0012,Clémence,Robin,Hématologie,CHU de Montpellier,+33 (0)2 46 22 69 16
D0013,Alex,Godard,Cardiologie,CHU de Nantes,03 85 80 18 45
D0014,Frédéric,Cousin,Gynécologie,Hôpital Privé Jean Mermoz,02 97 70 48 28
D0015,Franck,Toussaint,Chirurgie orthopédique,Hôpital Privé Jean Mermoz,0355252880
D0016,Joséphine,Breton,Gastro-entérologie,Hôpital Necker,01 46 15 43 03
D0017,Hélène,Chevalier,Psychiatrie,Hôpital Pitié-Salpêtrière,+33 (0)7 31 82 27 82
D0018,Rémy,Evrard,Chirurgie générale,CH de la Côte Basque,03 62 83 46 57
D0019,Diane,Sauvage,Médecine palliative,Polyclinique de l'Atlantique,+33 (0)3 83 31 50 98
D0020,Michel,Pruvost,Cardiologie,Hôpital Saint-Louis,+33 1 40 10 31 05
D0021,David,Buisson,Médecine palliative,Polyclinique Bordeaux Nord,+33 4 30 73 82 99
D0022,Christelle,Berger,Oto-rhino-laryngologie,Hôpital Necker,05 54 31 16 56
D0023,Antoinette,Bigot,Anesthésiologie,CH de la Côte Basque,+33 (0)2 38 06 51 33
D0024,Laurent,Regnier,Orthopédie,Hôpital Robert Picqué,02 69 62 47 31
D0025,Capucine,Dias,Physiologie,Hôpital Saint-Louis,+33 (0)1 76 80 13 26
D0026,Claire,Leduc,Anesthésiologie,CHU Haut-Lévêque,+33 5 47 02 60 64
D0027,Sabine,De Sousa,Dermatologie,Hôpital Cochin,0563872343
D0028,Bertrand,Delorme,Neurologie,Clinique Pasteur,+33 (0)4 69 00 97 88
D0029,Hugues,Boyer,Infectiologie,Clinique Pasteur,+33 (0)3 44 19 13 61
D0030,Hélène,Hoarau,Chirurgie cardiovasculaire,CH de la Côte Basque,+33 (0)2 29 69 98 54
D0031,Lucas,Laroche,Médecine palliative,Hôpital Saint-André,0379462475
D0032,Odette,Legrand,Médecine d'urgence,Hôpital Pitié-Salpêtrière,+33 (0)6 33 99 11 83
D0033,Corinne,Aubry,Gastro-entérologie,CHU Haut-Lévêque,+33 4 87 13 54 27
D0034,Victoire,Devaux,Médecine vasculaire,Hôpital Cochin,0141841241
D0035,Franck,Bernier,Dermatologie,CHU de Nantes,+33 4 23 49 35 34
D0036,Corinne,Camus,Radiologie,CHU de Dijon,0177164005
D0037,Pénélope,Dumont,Chirurgie orthopédique,CHU de Montpellier,0299786801
D0038,Denis,Blot,Médecine interne,Polyclinique de l'Atlantique,+33 1 64 59 82 62
D0039,Augustin,Le Gall,Oncologie,Hôpital de la Timone,0170533158
D0040,Anouk,Legendre,Gynécologie,Hôpital Privé Jean Mermoz,+33 3 76 22 60 25
D0041,Sabine,Bouchet,Dermatologie,Hôpital Saint-André,+33 4 15 21 60 73
D0042,Luc,Jacques,Urologie,Clinique Saint-Augustin,0465330365
D0043,Roger,Muller,Médecine du sport,Hôpital Purpan,0488868501
D0044,Raymond,Colin,Dermatologie,Polyclinique de l'Atlantique,0169196556
D0045,Julie,Gros,Psychiatrie,Polyclinique de l'Atlantique,+33 (0)5 32 93 40 60
D0046,Dorothée,Tanguy,Neurologie,Hôpital Cochin,+33 4 95 61 59 51
D0047,Michelle,Ribeiro,Médecine générale,Hôpital Pitié-Salpêtrière,0555564823
D0048,Astrid,Chartier,Chirurgie orthopédique,CHU de Dijon,03 25 99 46 80
D0049,Thibaut,Renault,Oncologie,Polyclinique Bordeaux Nord,+33 5 79 99 57 77
D0050,Margot,Benoit,Oncologie,Clinique Pasteur,03 22 14 89 51
D0051,Thérèse,Hamel,Gynécologie,Clinique du Parc,+33 4 67 33 20 03
D0052,Christelle,Bourdon,Médecine générale,Hôpital Privé Jean Mermoz,+33 (0)6 32 69 36 76
D0053,Patrick,Caron,Médecine vasculaire,Clinique du Parc,+33 (0)2 44 63 28 70
D0054,Frédérique,Menard,Chirurgie orthopédique,Clinique Tivoli,+33 (0)6 32 27 88 95
D0055,Olivie,Pichon,Chirurgie cardiovasculaire,CHU de Rennes,06 02 77 43 48
D0056,Claire,Toussaint,Ophtalmologie,CHU de Nantes,+33 4 26 71 43 45
D0057,Timothée,Gimenez,Médecine d'urgence,Clinique Saint-Augustin,+33 (0)2 62 23 62 31
D0058,Arnaude,Cordier,Ophtalmologie,Hôpital Pitié-Salpêtrière,0637603669
D0059,Marthe,Lefebvre,Rhumatologie,CH de la Côte Basque,06 80 54 66 88
D0060,Susanne,Marion,Médecine vasculaire,CHU de Rennes,+33 7 43 46 70 65
D0061,Marguerite,Potier,Oto-rhino-laryngologie,CHU de Nantes,03 20 72 98 06
D0062,Jeanne,Thibault,Psychiatrie,Clinique du Parc,+33 (0)2 30 62 72 04
D0063,Alex,Millet,Anesthésiologie,CHU de Dijon,+33 6 31 55 64 64
D0064,Victoire,Faure,Médecine du sport,Hôpital Saint-Louis,01 46 80 53 10
D0065,Olivie,Martinez,Pédiatrie,Clinique Saint-Augustin,+33 3 56 09 23 27
D0066,Marguerite,Noël,Gériatrie,Hôpital Saint-André,+33 6 37 45 29 91
D0067,Renée,Goncalves,Médecine palliative,CHU de Toulouse,0245904966
D0068,Michelle,Philippe,Rhumatologie,CH de la Côte Basque,+33 (0)3 81 14 91 90
D0069,Adélaïde,Rossi,Dermatologie,Hôpital Robert Picqué,04 99 18 50 67
D0070,Franck,Lesage,Médecine vasculaire,Hôpital de la Timone,0634262849
D0071,Susan,Tanguy,Médecine interne,Hôpital Privé Jean Mermoz,06 37 69 45 31
D0072,Roger,Lebreton,Anesthésiologie,Hôpital Robert Picqué,+33 6 36 99 65 07
D0073,Claude,Germain,Chirurgie orthopédique,CHU de Lille,+33 7 43 54 54 94
D0074,Frédérique,Dubois,Rhumatologie,CHU de Strasbourg,+33 2 31 36 78 37
D0075,Madeleine,Mendès,Médecine vasculaire,CHU de Rennes,06 10 14 36 34
D0076,Margaud,Blin,Pneumologie,Hôpital Xavier Arnozan,0668856855
D0077,Martine,De Sousa,Médecine générale,Hôpital Xavier Arnozan,0465431351
D0078,Noémi,Regnier,Psychiatrie,CHU de Nancy,+33 3 52 37 49 89
D0079,Roland,Roussel,Gastro-entérologie,CHU de Nantes,+33 4 50 35 24 08
D0080,Gilbert,Paris,Médecine générale,CHU de Nancy,+33 (0)1 78 84 27 10
D0081,Henriette,Jacquet,Chirurgie générale,Hôpital Necker,06 95 75 20 47
D0082,Gabriel,François,Médecine interne,Hôpital de la Timone,07 61 90 22 94
D0083,Émile,Menard,Rhumatologie,Clinique Pasteur,+33 (0)5 59 99 93 86
D0084,Catherine,Pichon,Psychiatrie,Hôpital Xavier Arnozan,0567499091
D0085,Paulette,Guillaume,Hématologie,CHU de Lille,+33 4 13 12 32 81
D0086,Hugues,Bernard,Dermatologie,Hôpital Saint-Louis,06 29 74 03 44
D0087,Martine,De Sousa,Pédiatrie,Polyclinique de l'Atlantique,+33 (0)3 73 49 36 18
D0088,Maurice,Jourdan,Neurologie,Hôpital Xavier Arnozan,+33 4 15 21 02 49
D0089,Océane,Colas,Chirurgie orthopédique,Polyclinique Bordeaux Nord,0587174648
D0090,Élodie,Teixeira,Médecine palliative,Clinique du Parc,02 29 90 65 94
D0091,André,Robin,Endocrinologie,CHU de Montpellier,+33 1 47 49 02 78
D0092,Manon,Pichon,Dermatologie,Hôpital Cochin,0328967175
D0093,Anouk,Le Roux,Rhumatologie,CHU de Montpellier,0243256746
D0094,Sylvie,Samson,Pneumologie,Hôpital Edouard Herriot,+33 (0)6 31 15 45 16
D0095,Denise,Martin,Médecine générale,CHU de Nantes,05 57 03 85 97
D0096,Lorraine,Pichon,Infectiologie,CHU Pellegrin,+33 (0)3 58 48 24 77
D0097,Gérard,Leroy,Urologie,CHU de Nancy,+33 2 98 48 08 61
D0098,Maurice,Noël,Neurologie,Clinique du Parc,02 50 27 48 46
D0099,Victoire,Guillet,Médecine interne,CHU de Nantes,03 81 78 26 39
D0100,Danielle,Letellier,Médecine du sport,CH de la Côte Basque,+33 2 18 46 58 40
D0101,Roland,Pages,Médecine du sport,CHU de Rennes,0752787558
D0102,Paulette,Devaux,Anesthésiologie,CHU Haut-Lévêque,06 32 53 39 63
D0103,Philippine,Bouchet,Radiologie,Hôpital Necker,+33 (0)4 71 76 62 70
D0104,Gilbert,Gaudin,Ophtalmologie,Hôpital Pitié-Salpêtrière,0240718702
D0105,Anouk,Bègue,Cardiologie,CHU de Nancy,+33 2 22 74 59 61
D0106,Dominique,Boulanger,Médecine interne,CHU de Nancy,04 71 78 09 13
D0107,Louise,Pottier,Médecine générale,Hôpital Edouard Herriot,0370161172
D0108,Marine,Ribeiro,Médecine du sport,Polyclinique Bordeaux Nord,+33 (0)1 74 50 45 56
D0109,William,Moulin,Hématologie,Hôpital Bichat,03 28 22 19 69
D0110,Maggie,Guillot,Neurologie,Polyclinique de l'Atlantique,02 76 37 47 40
D0111,Suzanne,Turpin,Chirurgie orthopédique,Hôpital Purpan,0297175946
D0112,Marie,Deschamps,Gériatrie,CHU de Rennes,04 58 36 71 36
D0113,Henriette,Pelletier,Hématologie,CHU de Montpellier,0450064090
D0114,Julie,Vallet,Gynécologie,Hôpital Xavier Arnozan,04 38 39 53 39
D0115,Philippe,Potier,Oncologie,Hôpital Saint-Louis,+33 2 37 04 70 95
D0116,Nath,Payet,Ophtalmologie,CHU de Nantes,+33 (0)4 50 56 23 28
D0117,Aimée,Laporte,Physiologie,Hôpital Saint-Louis,0320474517
D0118,Denis,Blanchard,Médecine vasculaire,Hôpital Edouard Herriot,+33 5 45 85 16 04
D0119,Élise,Denis,Médecine vasculaire,CHU Pellegrin,04 98 49 65 13
D0120,Charlotte,Laurent,Chirurgie cardiovasculaire,CHU de Toulouse,0367174612
D0121,Benjamin,Morel,Néphrologie,CHU Pellegrin,0771138267
D0122,Alexandrie,Leconte,Neurologie,Hôpital Bichat,02 96 61 79 64
D0123,Arthur,Blot,Oncologie,CHU de Strasbourg,0365773515
D0124,Émilie,Imbert,Gériatrie,CHU d'Angers,0182643171
D0125,Margaud,Lecomte,Radiologie,Clinique Saint-Augustin,+33 (0)1 76 53 29 31
D0126,Véronique,Salmon,Pédiatrie,Clinique Saint-Augustin,+33 3 64 35 29 04
D0127,William,Dumont,Médecine interne,Hôpital de la Timone,0325102053
D0128,Jacqueline,Breton,Physiologie,Clinique Tivoli,+33 (0)3 25 40 26 81
D0129,Noémi,Andre,Dermatologie,CHU de Nancy,06 15 89 17 83
D0130,Laetitia,Bertrand,Néphrologie,CHU de Dijon,0633007661
D0131,Claudine,Mendès,Dermatologie,Hôpital Saint-Louis,02 21 15 92 12
D0132,Robert,Ferrand,Gastro-entérologie,Hôpital Saint-Louis,0524984789
D0133,Aurore,Perrin,Orthopédie,Hôpital Xavier Arnozan,+33 (0)3 64 67 36 57
D0134,Andrée,Legros,Urologie,CHU de Lille,+33 (0)4 69 65 45 27
D0135,Daniel,Robin,Physiologie,CHU de Nantes,+33 (0)2 35 61 52 80
D0136,Jacqueline,Guilbert,Ophtalmologie,CH de la Côte Basque,0252656049
D0137,Thierry,Benard,Hématologie,Polyclinique de l'Atlantique,+33 (0)3 62 27 31 58
D0138,Alexandrie,Noël,Chirurgie cardiovasculaire,Hôpital Necker,0369689980
D0139,Julie,Descamps,Physiologie,Hôpital Robert Picqué,0155244550
D0140,Jules,Meunier,Médecine vasculaire,CHU de Nantes,02 18 20 18 36
D0141,Astrid,De Sousa,Médecine du sport,CHU de Nancy,0297545991
D0142,Bernard,Meyer,Oto-rhino-laryngologie,Hôpital Robert Picqué,+33 1 76 14 76 79
D0143,Capucine,Legros,Oto-rhino-laryngologie,Hôpital Purpan,0364815614
D0144,Margaret,Potier,Rhumatologie,Clinique du Parc,04 66 03 69 00
D0145,Lucas,Hernandez,Chirurgie orthopédique,Clinique Pasteur,+33 2 62 44 51 07
D0146,Océane,Perret,Pneumologie,CHU de Strasbourg,+33 2 56 68 38 85
D0147,David,Chauvin,Hématologie,Hôpital Pitié-Salpêtrière,+33 (0)5 86 07 15 96
D0148,Henriette,Lebon,Neurologie,Clinique Saint-Augustin,04 43 16 05 29
